store_name,tag,location,website,num_reviews,average_reviews,features,region,phone_number,price_range
Capa,"Sleek place for Spanish tapas & steak, This swanky restaurant in the Four Seasons Hotel has modern tapas, steak & an outdoor lounge.","10100 Dream Tree Blvd, Lake Buena Vista, FL 32836, United States",fourseasons.com,473 reviews,4.6,"Steak house, Cocktail bar, Fine dining restaurant, Seafood restaurant, Spanish restaurant, Wine bar",,+1 407-313-7777,Very expensive
Latitudes,"American cafe with special-occasion vibe, Upscale eatery in the Westin Hotel with sea views, outdoor dining & a menu of American cuisine.","245 Front St, Key West, FL 33040, United States",opalcollection.com,"1,974 reviews",4.7,"Restaurant, American restaurant, Breakfast restaurant, Seafood restaurant",,+1 305-292-5394,Very expensive
Hocca Orlando,"Hearty Brazilian fare in a classic space, Generous homestyle dishes are matched by traditional cocktails at this old-school Brazilian eatery.","8001 S Orange Blossom Trail Unit 1500, Orlando, FL 32809, United States",hoccaorlando.com,401 reviews,4.5,Brazilian restaurant,,+1 321-395-5325,
Angelina's Ristorante: Fine Italian Dining,"Italian fare in classy surroundings, Upscale spot for familiar Italian dishes in a cozy space with intimate booth seating & a patio.","24041 S Tamiami Trail, Bonita Springs, FL 34134, United States",angelinasofbonitasprings.com,705 reviews,4.6,"Italian restaurant, Bar, European restaurant, Event venue, Fine dining restaurant, Lounge",,+1 239-390-3187,Expensive
Rum Bay,"Resort locale for surf 'n' turf meals, Tropical-themed eatery on the Palm Island Resort offering seafood, steak, global bites & drinks.","7092 Placida Rd, Cape Haze, FL 33946, United States",rumbaypalmisland.com,751 reviews,4.3,"Seafood restaurant, Family restaurant, Restaurant",Palm Island,+1 941-697-0566,
Palms Fish Camp Restaurant,"Waterside seafood joint with live music, Easygoing hangout for local seafood, cocktails & beer in cheery digs with a waterfront deck.","6359 Heckscher Dr, Jacksonville, FL 32226, United States",palmsfishcamp.com,"2,516 reviews",4.3,"Seafood restaurant, Gift shop, Takeout restaurant, Restaurant, Tiki bar",Pumpkin Hill,+1 904-240-1672,Moderately expensive
The Holiday House Restaurant Top Rated Breakfast Lunch & Dinner,,"1908 US-19, Holiday, FL 34690, United States",business.site,505 reviews,4.4,"American restaurant, Bistro, Breakfast restaurant, Brunch restaurant, Diner, Family restaurant, Lunch restaurant, New American restaurant, Restaurant",,+1 727-935-2623,Inexpensive
THE FIRE RESTAURANT,"American bar & grill with many steaks, Bar & grill with an American menu that features Angus steaks, plus a patio & occasional live music.","325 W Central Ave, Winter Haven, FL 33880, United States",thefirerestaurant.com,"1,138 reviews",4.3,"Steak house, Restaurant",,+1 863-875-5544,Moderately expensive
Indigenous Restaurant,"Cozy bungalow with a farm-to-table menu, Innovative, carefully sourced American cuisine served in a warm, sophisticated restored home.","239 S Links Ave, Sarasota, FL 34236, United States",indigenoussarasota.com,532 reviews,4.6,"New American restaurant, Fine dining restaurant, Restaurant, Seafood restaurant, Wine bar",Laurel Park,+1 941-706-4740,Expensive
Canvas Restaurant & Market,"Cool Latin-American eatery & home goods, Latin-inspired Southern grub served in a hip space offering all-day bites, plus a home goods store.","13615 Sachs Avenue, Orlando, FL 32827, United States",canvaslakenona.com,"2,337 reviews",4.4,Restaurant,Lake Nona South,+1 407-313-7800,Moderately expensive
Kres Chophouse,"Storied venue for steak & drinks, Historic building housing a modern, bustling steakhouse with happy hours & late-night dining.","17 W Church St, Orlando, FL 32801, United States",kresrestaurant.com,"1,982 reviews",4.7,"Steak house, Fine dining restaurant, Restaurant",Central Business District,+1 407-447-7950,Expensive
Morada Bay,"Beachside American-Caribbean bistro, Open-air option for Caribbean-style American eats, with tables right on the beach.","81600 Overseas Hwy, Islamorada, FL 33036, United States",moradabaykeys.com,"1,955 reviews",4.4,"American restaurant, Restaurant",,+1 305-664-0604,Expensive
Fish Out of Water Restaurant,"Elegant, market-driven seafood spot, Chic cafe within the WaterColor Inn creating Southern-style seafood dishes using local ingredients.","34 Goldenrod Cir, Santa Rosa Beach, FL 32459, United States",foow30a.com,637 reviews,4.1,"Seafood restaurant, Restaurant",,+1 850-534-5050,Expensive
The Bricks,"Spacious hangout with upbeat eats, Chill haunt with pressed-tin ceilings & brick walls serving casual, eclectic bites, even late-night.","1327 E 7th Ave, Tampa, FL 33605, United States",thebricksybor.com,"1,563 reviews",4.5,"American restaurant, Bar, New American restaurant",Ybor City,+1 813-247-1785,Moderately expensive
Mise en Place Restaurant,"Venerable New American destination, Chef Marty Blitz presents a New American menu featuring creative plates in a refined space.","Grand Central Place, 442 W Kennedy Blvd, Tampa, FL 33606, United States",miseonline.com,714 reviews,4.6,"Restaurant, Caterer, Cocktail bar, Event venue, Fine dining restaurant, French restaurant, Wine bar",Hyde Park,+1 813-254-5373,Expensive
Tide Tables Restaurant and Marina,"Waterfront seafood joint & marina, Casual seafood eatery overlooking the Intracoastal Waterway, with a marina & outdoor tiki bar.","12507 Cortez Rd W, Bradenton, FL 34210, United States",tidetablescortez.com,"2,383 reviews",4.7,"Seafood restaurant, Bar, Marina, Restaurant",,+1 941-567-6206,Moderately expensive
Fresco Cucina Italiana,"Family-run Northern Italian eatery, A mural of the countryside decorates this family-owned Northern Italian restaurant.","7721 Turkey Lake Rd, Orlando, FL 32819, United States",frescoorlando.com,"1,104 reviews",4.6,Italian restaurant,,+1 407-363-5775,Moderately expensive
Hard Rock Cafe,"Music-themed chain with an American menu, Rock ’n’ roll-themed chain with a high-energy vibe serving burgers & American classics.","6050 Universal Blvd, Orlando, FL 32819, United States",hardrockcafe.com,"8,752 reviews",4.5,American restaurant,Florida Center,+1 407-351-7625,Moderately expensive
The Mansion,"Victorian home with casual American fare, Large Victorian home with a casual American restaurant & Italian deli plus outdoor seating.","1218 E New Haven Ave, Melbourne, FL 32901, United States",thebigmansion.com,"2,845 reviews",4.3,"American restaurant, Italian restaurant, Restaurant",Strawbridge,+1 321-345-5800,Moderately expensive
Braccia Ristorante,"Relaxed Italian spot with Brazilian pies, Italian classic & Brazilian pizza served in an airy brick- & wood-lined space with sidewalk seating.","153 E Morse Blvd, Winter Park, FL 32789, United States",bracciaristorante.com,535 reviews,4.5,"Italian restaurant, Pizza restaurant",,+1 407-960-7596,Moderately expensive
VIVO Italian Kitchen™,"Sleek option for homestyle Italian fare, Artisan pizzas, housemade pastas & cocktails served in a stylish setting with an open kitchen.","6000 Universal Blvd, Orlando, FL 32819, United States",universalorlando.com,"1,320 reviews",4.1,"Italian restaurant, Restaurant",Florida Center,+1 407-224-3663,Moderately expensive
Boca Winter Park,"Seasonal American fare in hip surrounds, Rustic-chic spot with outdoor seats serving seasonal American dishes, charcuterie & craft cocktails.","358 N Park Ave suite a, Winter Park, FL 32789, United States",bocawp.com,"1,164 reviews",4.3,"American restaurant, Bar, Restaurant",,+1 407-636-7022,Moderately expensive
DOMU,"Asian hub for ramen & small plates, Modern restaurant/bar serving ramen & Asian small plates, plus cocktails, sake, wine & beer.","East End Market, 3201 Corrine Dr Suite 100, Orlando, FL 32803, United States",domufl.com,"2,143 reviews",4.6,"Japanese restaurant, Cocktail bar, Ramen restaurant",Audubon Park,+1 407-960-1228,Moderately expensive
Pistache French Bistro,"Classic French bistro with park views, Hip French cafe turning out traditional cuisine in art-nouveau-style digs by Centennial Park.","101 N Clematis St, West Palm Beach, FL 33401, United States",pistachewpb.com,908 reviews,4.4,French restaurant,Downtown,+1 561-833-5090,Expensive
Columbia Restaurant,"Long-running traditional Spanish eatery, Traditional Spanish restaurant, a branch of a long-standing local chain dating back to 1905.","2117 E 7th Ave, Tampa, FL 33605, United States",columbiarestaurant.com,"13,706 reviews",4.5,"Spanish restaurant, Catering food and drink supplier, Cuban restaurant, Event venue, Gift shop, Takeout restaurant",Ybor City,+1 813-248-4961,Expensive
Bosphorous Turkish Cuisine,"Snug & stylish spot for kebabs & hummus, Cozy spot with intimate lighting for traditional Turkish fare like kebabs, falafel & lamb dishes.","The Marketplace, 7600 Dr Phillips Blvd Suite 108, Orlando, FL 32819, United States",bosphorousrestaurant.com,"1,093 reviews",4.2,"Turkish restaurant, Restaurant",,+1 407-352-6766,Moderately expensive
Plancha,"Relaxed Cuban spot at an upscale resort, Cuban-American plates & cocktails served in the stylish golf clubhouse at the Four Seasons Resort.","3451 Golf View Dr, Lake Buena Vista, FL 32830, United States",fourseasons.com,53 reviews,4.5,"Cuban restaurant, Cocktail bar, Family restaurant, Latin American restaurant, Restaurant, Seafood restaurant",,+1 407-313-6161,
River Rocks,"Stylish seafood spot with river views, Modern seafood restaurant with expansive lagoon views, patio seating & an extensive wine list.","6485 south, US-1, Rockledge, FL 32955, United States",riverrocksrestaurant.com,"2,161 reviews",4.3,"American restaurant, Fine dining restaurant, Live music venue, Restaurant, Seafood restaurant, Wedding venue",Pineda,+1 321-757-7200,Moderately expensive
Seaside Cafe at the Mansion,"Drinks, seafood & pizza with ocean views, Walk-up counter with outdoor seating & ocean views serving cocktails, seafood, pizza & sandwiches.","1400 Duval St, Key West, FL 33040, United States",seasidecafekw.com,611 reviews,4.7,"Restaurant, Cafe",,+1 305-340-8167,
The Surf Club Restaurant,,"9011 Collins Ave, Surfside, FL 33154, United States",surfclubrestaurant.com,191 reviews,4.6,American restaurant,,+1 305-768-9440,Very expensive
