store_name,tag,location,website,num_reviews,average_reviews,features,region,phone_number,price_range
IMSportsgear,,"575 Madison Ave, New York, NY 10022, United States",imsportsgear.com,,,Sporting goods store,Manhattan,+1 800-743-2220,
Nuvo Sport,,"7 W 34th St., New York, NY 10001, United States",nuvosport.com,,,Sporting goods store,Manhattan,+1 862-239-6886,
Snow Peak New York,"Venerable outfitter for the outdoors, Sustainable retailer focusing on innovative & high-quality products for camping & outdoor living.","59 Crosby St, New York, NY 10012, United States",snowpeak.com,41 reviews,4.5,"Outdoor sports store, Store",Manhattan,+1 212-226-8640,
Pelé Soccer - Times Square,,"1560 Broadway, New York, NY 10036, United States",pelesoccer.com,226 reviews,4.4,"Sporting goods store, Children's clothing store, Clothing store, Men's clothing store, Shoe store, Sportswear store, T-shirt store, Women's clothing store",Manhattan,+1 646-666-0025,
Champion,,"434 Broadway, New York, NY 10013, United States",stores.champion.com,168 reviews,4.1,"Sportswear store, Men's clothing store, Women's clothing store",Manhattan,+1 212-226-2740,
Champs Sports,"Source for athletic footwear & apparel, Chain featuring a wide range of brand-name athletic footwear, clothing, hats & more.","200 Baychester Ave Suite 214B-215, The Bronx, NY 10475, United States",stores.champssports.com,256 reviews,4.3,"Shoe store, Clothing store, Sportswear store",East Bronx,+1 718-379-5363,Moderately expensive
Under Armour Brand House,"Activewear, athletic shoes & accessories, Activewear brand known for its apparel, shoes & accessories designed for sports & fitness.","185 Greenwich St., Space Ll4302, New York, NY 10007, United States",underarmour.com,264 reviews,4.2,"Sporting goods store, Shoe store, Clothing store, Sportswear store",Manhattan,+1 646-863-7408,Expensive
Orvis,,"489 5th Ave, New York, NY 10017, United States",orvis.com,195 reviews,4.4,"Sporting goods store, Camping store, Fishing store, Home goods store, Outdoor sports store, Clothing store",Manhattan,+1 212-867-0212,Expensive
Sports World,"Sports clothing & equipment retailer, Chain retailer of branded sports clothing, footwear and equipment, some at discount prices.","89-76 165th St, Queens, NY 11432, United States",sportsworld165.com,70 reviews,4.1,"Sporting goods store, Hat shop",Jamaica,+1 718-297-0066,
Upper 90 Soccer Manhattan,"Go-to for soccer apparel & equipment, Soccer outpost with a wide selection of clothing, shoes & gear from brand-names plus team jerseys.","250 W 86th St, New York, NY 10024, United States",u90soccer.com,225 reviews,4.5,"Soccer store, Sporting goods store",Manhattan,+1 646-863-7076,
ASICS,"Colorful athletic shoes & sports apparel, Retailer of colorful athletic shoes for men, women & children, plus sports apparel & accessories.","420 W 14th St, New York, NY 10014, United States",asics.com,174 reviews,4.1,"Sporting goods store, Clothing store, Men's clothing store, Shoe store, Sportswear store, Women's clothing store",Manhattan,+1 212-691-1410,
Fleet Feet - JackRabbit - Union Square,"Running, swimming, cycling & yoga gear, Sports shop specializing in running-shoe fittings as well as cycling, swimming & yoga attire & gear.","42 W 14th St, New York, NY 10011, United States",fleetfeetnyc.com,343 reviews,4.2,"Running store, Clothing store, Men's clothing store, Shoe store, Sportswear store, Women's clothing store",Manhattan,+1 646-355-1982,
Sports Wear Group,,"1407 Broadway # 2805, New York, NY 10018, United States",,3 reviews,4.3,Sportswear store,Manhattan,+1 212-768-3975,
adidas Flagship Store New York,"Athletic wear & shoes, Retail store featuring the brand's signature athletic footwear, clothes & accessories.","565 5th Ave, New York, NY 10017, United States",go.adidas.com,"4,271 reviews",4.4,"Sportswear store, Clothing store, Exercise equipment store, Shoe store",Manhattan,+1 212-883-5606,
